build_config,part1,part2,duration,parse_duration
Debug,14360,####.#..#.###..####.###....##..##..#....
#....#..#.#..#....#.#..#....#.#..#.#....
.##..####.#..#...#..#..#....#.#....#....
.....#..#.###...#...###.....#.#.##.#....
.....#..#.#....#....#....#..#.#..#.#....
####.#..#.#....####.#.....##...###.####.
,0.5532999999999999,0.1571
