build_config,part1,part2,duration,parse_duration
Release,12520,####.#..#.###..####.###....##..##..#....
#....#..#.#..#....#.#..#....#.#..#.#....
.##..####.#..#...#..#..#....#.#....#....
.....#..#.###...#...###.....#.#.##.#....
.....#..#.#....#....#....#..#.#..#.#....
####.#..#.#....####.#.....##...###.####.
,0.7394,0.0165
