build_config,part1,part2,duration,parse_duration
Debug,14360,####.#..#.###..####.###....##..##..#....
#....#..#.#..#....#.#..#....#.#..#.#....
.##..####.#..#...#..#..#....#.#....#....
.....#..#.###...#...###.....#.#.##.#....
.....#..#.#....#....#....#..#.#..#.#....
####.#..#.#....####.#.....##...###.####.
,0.8,0.19440000000000002
